COMP ID,PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
62566,139,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,LC/MS Neg,100020419,2844.0,236.0928,,,,
62564,157,1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,LC/MS Neg,100020421,1846.0,252.0877,,,,
62562,374,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100020423,2008.0,188.0928,,,,
61505,2504,1-cerotoyl-GPC (26:0)*,Lipid,Lysophospholipid,LC/MS Pos Late,100015772,1990.0,636.4963,,,,HMDB29205
48341,2707,1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol,LC/MS Neg,100006121,6400.0,305.2486,,,,
38140,5569,1-hydroxy-2-naphthalenecarboxylate,Xenobiotics,Drug - Other,LC/MS Neg,100002394,3930.0,187.0401,6844,86-48-6,C03203,
49617,2496,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,LC/MS Pos Late,100002873,1907.0,608.465,,325171-59-3,,HMDB10405
45951,2466,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,LC/MS Pos Late,100005350,1410.0,518.3241,,,,HMDB10388
52710,2220,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100009131,1969.0,806.5694,,,,HMDB08147
53176,2216,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100009343,1939.0,780.5538,,,,HMDB08141
34419,2464,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,LC/MS Pos Late,100001395,1465.0,520.3398,11988421,,C04100,HMDB10386
36600,2520,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,LC/MS Pos Late,100001570,1482.0,478.2928,52925130,,,HMDB11507
54885,2562,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,LC/MS Neg,100009227,5516.0,507.2728,,,,
36594,2572,1-linoleoyl-GPI* (18:2)*,Lipid,Lysophospholipid,LC/MS Neg,100001778,5494.0,595.2889,,,,
27447,2702,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,LC/MS Neg,100001040,6477.0,279.2329,5283469,2277-28-3,,
32350,86,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,100001208,2064.0,141.0659,75810,2625-49-2,C05828,HMDB02820
62946,87,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,LC/MS Pos Early,100002910,1989.0,141.0659,6451814,4200-48-0,,HMDB04988
48114,509,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,LC/MS Pos Early,100000715,2149.0,74.0713,10111,22661-87-6,C02294,HMDB01522
30460,68,1-methylhistidine,Amino Acid,Histidine Metabolism,LC/MS Neg,100001051,1227.0,168.0779,92105,332-80-9,C01152,HMDB00001
27665,4117,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,LC/MS Pos Early,55,1940.0,137.0709,457,1005-24-9,C02918,HMDB00699
34395,4371,1-methylurate,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100001400,1461.0,183.0513,69726,708-79-2,C16359,HMDB03099
34389,4377,1-methylxanthine,Xenobiotics,Xanthine Metabolism,LC/MS Pos Early,100001405,1500.0,167.0564,80220,6136-37-4,C16358,HMDB10738
53195,2125,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100009139,1914.0,754.5381,,,,HMDB07883
19258,2121,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100000672,2147.0,706.5381,129657,69525-80-0,,HMDB07869
35625,2694,1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,LC/MS Neg,100001618,6353.3,227.2016,79050,75685-84-6,C01885,HMDB11561
55041,2301,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100009219,2200.0,766.5381,,,,HMDB09069
52697,2214,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100009130,2011.0,832.5851,,,,HMDB08123
52687,2298,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100009078,2270.0,742.5381,9546753,,,HMDB05349
48258,2461,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,LC/MS Pos Late,100001272,1540.0,522.3554,16081932,19420-56-5,,HMDB02815
35628,2518,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,LC/MS Pos Late,100001569,1554.0,480.3085,9547071,89576-29-4,,HMDB11506
45968,2560,1-oleoyl-GPG (18:1)*,Lipid,Lysophospholipid,LC/MS Neg,100005716,5610.0,509.2885,,,,
36602,2570,1-oleoyl-GPI (18:1),Lipid,Lysophospholipid,LC/MS Neg,100001777,5599.0,597.3045,,,,
19260,2550,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,LC/MS Neg,100000630,5607.0,522.2837,9547099,326589-90-6,,HMDB61694
21184,2701,1-oleoylglycerol (18:1),Lipid,Monoacylglycerol,LC/MS Neg,100000924,6650.0,281.2486,5283468,111-03-5,,HMDB11567
53180,2168,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100009345,1850.0,754.5381,,,,HMDB08008
33230,2452,1-palmitoleoyl-GPC* (16:1)*,Lipid,Lysophospholipid,LC/MS Pos Late,100001511,1450.0,494.3241,24779461,,,HMDB10383
52431,2698,1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,LC/MS Neg,100008952,6094.0,253.2173,,,,
52462,2155,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008914,2091.0,782.5694,10747814,35418-58-7,,HMDB07982
52464,2270,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100008990,2198.0,740.5225,9546800,,,HMDB05323
52467,2391,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,100008993,2567.0,876.5597,,,,HMDB09789
52454,2151,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008985,2199.0,784.5851,,,,
52610,2161,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008915,2023.0,806.5694,6441886,59403-54-2,,HMDB07991
52465,2272,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100008991,2119.0,764.5225,9546799,,,HMDB05324
42446,2144,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,1537,2160.0,758.5694,5287971,40811-94-7,,HMDB07973
42449,2264,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100001870,2275.0,716.5225,9546747,,,HMDB05322
52450,2388,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,1528,2730.0,852.5597,,,,HMDB09784
52461,2141,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,1539,2358.0,760.5851,6436017,26853-31-6;26853-31-6,,HMDB07972
19263,2262,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,1526,2509.0,718.5381,5283496,26662-94-2,,HMDB05320
52669,2386,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,100009066,3140.0,854.5753,,,,HMDB09783
52470,2138,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008984,2160.0,732.5538,,,,
52616,2139,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008921,2653.0,762.6007,,59403-51-9,,HMDB07970
33955,2450,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,LC/MS Pos Late,100001263,1525.0,496.3398,86554,17364-16-8,,HMDB10382
35631,2509,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,LC/MS Pos Late,100001567,1544.0,454.2928,9547069,53862-35-4,,HMDB11503
45970,2555,1-palmitoyl-GPG (16:0)*,Lipid,Lysophospholipid,LC/MS Neg,100005717,5570.0,483.2728,3300276,,,
35305,2564,1-palmitoyl-GPI* (16:0),Lipid,Lysophospholipid,LC/MS Neg,100001655,5564.0,571.2889,,,,HMDB61695
21127,2697,1-palmitoylglycerol (16:0),Lipid,Monoacylglycerol,LC/MS Neg,100000827,6550.0,255.2329,14900,542-44-9,,HMDB31074
61868,90,1-ribosyl-imidazoleacetate*,Amino Acid,Histidine Metabolism,LC/MS Pos Early,100001668,2006.0,259.0925,5117448,29605-99-0,C05131,HMDB02331
42450,2189,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100001869,2300.0,810.6007,16219824,35418-59-8,,HMDB08048
52447,2292,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100008977,2424.0,768.5538,5289133,,,HMDB09003
52449,2407,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,100000616,3000.0,904.591,,383907-33-3,,HMDB09815
52235,2361,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Lipid,Phosphatidylserine (PS),LC/MS Pos Late,100001872,2565.0,812.5436,,,,HMDB12383
52611,2195,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008916,2197.0,834.6013,,59403-52-0,,HMDB08057
52466,2296,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100008992,2317.0,792.5538,9546798,,,HMDB05334
52452,2181,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008980,2380.0,786.6007,,,,
52446,2283,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100008976,2522.0,744.5538,9546749,,,HMDB08994
52468,2395,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,100008994,3185.0,880.591,,,,HMDB09809
52438,2178,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),LC/MS Pos Late,100008904,2644.0,788.6164,,56421-10-4,,HMDB08038
42448,2279,1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),LC/MS Pos Late,100001856,2858.0,746.5694,,,,HMDB08993
52726,2394,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,Lipid,Phosphatidylinositol (PI),LC/MS Pos Late,100009181,3711.0,882.6066,,,,
19265,2358,1-stearoyl-2-oleoyl-GPS (18:0/18:1),Lipid,Phosphatidylserine (PS),LC/MS Pos Late,100000639,3000.0,790.5593,9547087,,,HMDB10163
33961,2459,1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,LC/MS Pos Late,100001271,1606.0,524.3711,497299,19420-57-6,,HMDB10384
42398,2516,1-stearoyl-GPE (18:0),Lipid,Lysophospholipid,LC/MS Pos Late,100001461,1626.0,482.3241,9547068,69747-55-3,,HMDB11130
34437,2558,1-stearoyl-GPG (18:0),Lipid,Lysophospholipid,LC/MS Neg,100001462,5816.0,511.3041,,,,
19324,2568,1-stearoyl-GPI (18:0),Lipid,Lysophospholipid,LC/MS Neg,100000656,5794.0,599.3202,,796963-93-4,,HMDB61696
45966,2549,1-stearoyl-GPS (18:0)*,Lipid,Lysophospholipid,LC/MS Neg,100004327,5800.0,524.2994,9547101,,,
33971,1430,10-heptadecenoate (17:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001278,5555.0,267.233,5312435,29743-97-3,,HMDB60038
62970,5305,10-hydroxywarfarin,Xenobiotics,Drug - Cardiovascular,LC/MS Pos Late,100020811,911.0,325.1071,,,,
33972,1438,10-nonadecenoate (19:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,LC/MS Neg,100001277,5780.0,295.2643,5312513,73033-09-7,,HMDB13622
32497,1399,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid,LC/MS Neg,100001197,5085.8,183.1391,14891,1333-28-4,C13910,HMDB33724
63251,3223,11beta-hydroxyandrosterone glucuronide,Lipid,Androgenic Steroids,LC/MS Neg,100020541,4209.0,481.2443,,,,
38395,1905,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",LC/MS Neg,62,5137.0,313.2384,10236635,263399-35-5,C14829,HMDB04705
37752,1889,13-HODE + 9-HODE,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100002196,5275.0,295.2283,,,,
39609,1885,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100002953,5236.2,271.2279,10466,506-13-8,C18218,HMDB06294
38168,3165,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,LC/MS Neg,100002126,4240.0,383.1534,,,,
37482,3081,17alpha-hydroxypregnenolone 3-sulfate,Lipid,Pregnenolone Steroids,LC/MS Neg,100002128,4800.0,411.1847,152971,28901-70-4,,HMDB00416
57783,5023,1H-indole-7-acetic acid,Xenobiotics,Bacterial/Fungal,LC/MS Neg,100004601,2862.0,174.0561,,39689-63-9,,
1412,4042,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Polar,536,1100.0,273.0728,13712,951-78-0,C00526,HMDB00012
57554,4068,2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",LC/MS Pos Early,100010895,2411.0,258.1085,150971,2140-72-9,,
57655,4030,2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,100010896,1831.0,257.0779,102212,2140-76-3,,
57547,382,"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100010869,787.0,133.0506,301941,14868-24-7,,HMDB29576
62805,401,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Neg,100020893,1156.0,177.0227,,,,
38276,4514,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,LC/MS Polar,100002417,1050.0,133.0506,677,1756-18-9,C04039,HMDB12141
21132,4515,"2,3-dihydroxypyridine",Xenobiotics,Food Component/Plant,LC/MS Pos Early,100000861,1420.0,112.0393,28115,16867-04-2,,
15664,1142,"2,3-diphosphoglycerate",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",LC/MS Neg,1227,555.0,264.952,186004,102783-53-9,C01159,HMDB01294
64328,5709,"2,4-di-tert-butylphenol",Xenobiotics,Chemical,LC/MS Neg,100021918,5749.0,205.1597,,96-76-4,,
63042,5542,"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,LC/MS Neg,100020837,2575.0,153.0193,9338,303-07-1,,HMDB13676
48691,4519,"2,8-quinolinediol sulfate",Xenobiotics,Food Component/Plant,LC/MS Neg,100004321,2612.0,239.9972,,,,
48580,4981,2-acetamidophenol sulfate,Xenobiotics,Food Component/Plant,LC/MS Neg,100006190,2251.0,230.0129,181671,40712-60-5,,
6146,116,2-aminoadipate,Amino Acid,Lysine Metabolism,LC/MS Pos Early,381,1912.0,162.0761,469,542-32-5;1118-90-7,C00956,HMDB00510
42374,527,2-aminobutyrate,Amino Acid,Glutathione Metabolism,LC/MS Pos Early,1128,2059.0,104.0706,439691,1492-24-6,C02261,HMDB00650
43761,1646,2-aminoheptanoate,Lipid,"Fatty Acid, Amino",LC/MS Pos Early,100004542,3160.0,146.1176,227939,1115-90-8,,
43343,1651,2-aminooctanoate,Lipid,"Fatty Acid, Amino",LC/MS Pos Late,100004227,750.0,160.1332,69522,644-90-6,,HMDB00991
43266,4982,2-aminophenol sulfate,Xenobiotics,Food Component/Plant,LC/MS Neg,100004322,1677.0,188.0023,181670,,,HMDB61116
19266,2718,2-arachidonoylglycerol (20:4),Lipid,Monoacylglycerol,LC/MS Neg,100000584,6170.0,303.2329,5282280,53847-30-6,C13856,HMDB04666
61785,1719,2-butenoylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),LC/MS Neg,100016110,1380.0,142.051,6303498,71428-89-2,,
36847,4306,2-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,100001809,3416.0,201.0227,,,,
43338,4770,2-furoic acid,Xenobiotics,Food Component/Plant,LC/MS Neg,100004211,960.0,111.0088,6919,88-14-2,C01546,HMDB00617
61771,4706,2-furoylcarnitine,Xenobiotics,Food Component/Plant,LC/MS Pos Early,100016070,2672.0,256.118,,,,
36746,353,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,100001541,1800.0,131.0714,164623,488-15-3,,HMDB00317
63739,402,2-hydroxy-4-(methylthio)butanoic acid,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",LC/MS Polar,100021372,1065.0,149.0278,,583-91-5,,
33173,5064,2-hydroxyacetaminophen sulfate*,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,100001791,1674.0,246.0078,86290013,,,
61700,1848,2-hydroxyarachidate*,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100019892,5990.0,327.2905,5225199,,,
57663,1849,2-hydroxybehenate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100015637,6384.0,355.3218,193484,,,
52281,529,2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,LC/MS Polar,100008928,1258.0,103.0401,,,,
42489,1840,2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100004089,4840.0,187.134,21488,5393-81-7,,
62528,4398,2-hydroxyfluorene sulfate,Xenobiotics,Tobacco Metabolite,LC/MS Neg,100020585,4372.0,261.0227,,,,
52294,1559,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Pos Early,100002070,958.0,166.071,43,40951-21-1,C02630,HMDB0059655
18281,4258,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,LC/MS Polar,1869,1123.9,194.0459,10253,487-54-7,C07588,HMDB00840
43330,5079,2-hydroxyibuprofen,Xenobiotics,"Drug - Analgesics, Anesthetics",LC/MS Neg,100004169,3462.0,221.1183,10443535,51146-55-5,,HMDB60920
52916,1841,2-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100008934,5211.0,215.1653,97783,2984-55-6,,
32413,1842,2-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001180,5364.0,243.1966,1563,2507-55-3,C13790,HMDB02261
61698,1851,2-hydroxynervonate*,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100015638,6345.0,381.3374,5312783,,,
22036,1838,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100000743,3736.8,159.1027,94180,617-73-2,,HMDB02264
35675,1843,2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,100001579,5511.2,271.2279,92836,764-67-0,,HMDB31057
1432,149,2-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,LC/MS Polar,235,858.6,151.0401,11970,614-75-5,C05852,HMDB00669
